,Unnamed: 0,Date,Symbol,Open,High,Low,Close,Volume
0,0,2021-03-14 4:00:00,ZEC,154.67,154.87,143.38,144.22,3795.322736
1,1,2021-03-13 4:00:00,ZEC,141.56,160.0,139.44,154.67,5404.814604
2,2,2021-03-12 4:00:00,ZEC,155.17,156.93,137.55,141.56,3144.468726
3,3,2021-03-11 4:00:00,ZEC,143.67,156.28,143.67,155.17,2729.353019
4,4,2021-03-10 4:00:00,ZEC,132.37,145.0,131.38,143.67,7743.016624
5,5,2021-03-09 4:00:00,ZEC,132.4,139.56,130.18,132.37,3548.046441
6,6,2021-03-08 4:00:00,ZEC,129.42,133.97,124.62,132.4,2418.394207
7,7,2021-03-07 4:00:00,ZEC,126.08,132.86,124.11,129.42,2543.384763
8,8,2021-03-06 4:00:00,ZEC,121.35,127.55,119.06,126.08,1876.360275
9,9,2021-03-05 4:00:00,ZEC,117.67,124.55,114.47,121.35,2479.530583
10,10,2021-03-04 4:00:00,ZEC,125.08,125.08,112.94,117.67,1708.30368
11,11,2021-03-03 4:00:00,ZEC,122.56,131.35,122.56,125.08,5879.105089
12,12,2021-03-02 4:00:00,ZEC,121.7,126.82,116.51,122.56,3258.47006
13,13,2021-03-01 4:00:00,ZEC,113.29,126.71,110.5,121.7,3224.368731
14,14,2021-02-28 4:00:00,ZEC,114.54,117.05,104.39,113.29,6226.168264
15,15,2021-02-27 4:00:00,ZEC,122.62,125.48,114.1,114.54,3494.462068
16,16,2021-02-26 4:00:00,ZEC,121.23,125.24,113.28,122.62,3949.070948
17,17,2021-02-25 4:00:00,ZEC,132.27,135.0,116.23,121.23,3083.046339
18,18,2021-02-24 4:00:00,ZEC,131.5,136.86,124.69,132.27,7362.727064
19,19,2021-02-23 4:00:00,ZEC,136.03,137.48,108.57,131.5,13040.90558
20,20,2021-02-22 4:00:00,ZEC,153.47,157.81,122.0,136.03,14624.80458
21,21,2021-02-21 4:00:00,ZEC,164.96,167.68,152.42,153.47,6557.113861
22,22,2021-02-20 4:00:00,ZEC,176.58,182.13,156.25,164.96,9583.752507
23,23,2021-02-19 4:00:00,ZEC,168.05,189.99,167.03,176.58,11387.18754
24,24,2021-02-18 4:00:00,ZEC,164.14,179.0,162.35,168.05,3659.614428
25,25,2021-02-17 4:00:00,ZEC,154.24,173.2,147.34,164.14,11159.52306
26,26,2021-02-16 4:00:00,ZEC,162.5,167.75,149.0,154.24,6464.149799
27,27,2021-02-15 4:00:00,ZEC,145.04,179.1,137.95,162.5,10058.11905
28,28,2021-02-14 4:00:00,ZEC,169.78,176.92,125.0,145.04,15235.66609
29,29,2021-02-13 4:00:00,ZEC,147.46,192.14,146.29,169.78,14906.98018
30,30,2021-02-12 4:00:00,ZEC,144.92,149.93,132.05,147.46,7412.318618
31,31,2021-02-11 4:00:00,ZEC,117.29,150.0,117.29,144.92,8391.8665
32,32,2021-02-10 4:00:00,ZEC,112.6,121.57,106.4,117.29,6836.394751
33,33,2021-02-09 4:00:00,ZEC,103.94,114.0,100.11,112.6,8896.866758
34,34,2021-02-08 4:00:00,ZEC,92.57,105.0,92.16,103.94,7648.675867
35,35,2021-02-07 4:00:00,ZEC,93.12,94.71,89.06,92.57,1837.545405
36,36,2021-02-06 4:00:00,ZEC,97.13,98.89,91.81,93.12,3994.397581
37,37,2021-02-05 4:00:00,ZEC,90.74,97.39,90.45,97.13,7798.63367
38,38,2021-02-04 4:00:00,ZEC,92.11,92.11,89.03,90.74,4138.119591
39,39,2021-02-03 4:00:00,ZEC,95.57,97.11,92.11,92.11,3642.26904
40,40,2021-02-02 4:00:00,ZEC,91.55,96.31,89.62,95.57,6383.128959
41,41,2021-02-01 4:00:00,ZEC,87.18,93.24,84.25,91.55,4144.506745
